handle,id,detail_url,image_url
tethys-rocket,7007574917311,https://locprecision.com/collections/rocket-kits/products/tethys-rocket,//locprecision.com/cdn/shop/products/IMG_0914_540x.jpg?v=1669150944
endeavour-rocket,7007574819007,https://locprecision.com/collections/rocket-kits/products/endeavour-rocket,//locprecision.com/cdn/shop/products/endeavour_540x.jpg?v=1638942343
phoenix-75,6677843148991,https://locprecision.com/collections/rocket-kits/products/phoenix-75,//locprecision.com/cdn/shop/products/51_8baf9381-7c10-4d82-be30-81c73227443b_540x.jpg?v=1623328651
cool-spool,6677841543359,https://locprecision.com/collections/rocket-kits/products/cool-spool,//locprecision.com/cdn/shop/products/21_540x.jpg?v=1621496407
quasar-rocket,7007574622399,https://locprecision.com/collections/rocket-kits/products/quasar-rocket,//locprecision.com/cdn/shop/products/quasar_540x.jpg?v=1638942613
mystic-rocket,7007574425791,https://locprecision.com/collections/rocket-kits/products/mystic-rocket,//locprecision.com/cdn/shop/products/MysticHolding_0016tn_540x.jpg?v=1633696017
io,7007562432703,https://locprecision.com/collections/rocket-kits/products/io,//locprecision.com/cdn/shop/products/IoJerry300t_540x.jpg?v=1633695656
andromeda-54-38,7007574196415,https://locprecision.com/collections/rocket-kits/products/andromeda-54-38,//locprecision.com/cdn/shop/products/AndomedaArtHorizontalTN_540x.jpg?v=1633696014
agm-256-pit-bull,7007570034879,https://locprecision.com/collections/rocket-kits/products/agm-256-pit-bull,//locprecision.com/cdn/shop/products/AGM256PitBullTN_540x.jpg?v=1633695896
1-6-scale-patriot-missile,7007569903807,https://locprecision.com/collections/rocket-kits/products/1-6-scale-patriot-missile,//locprecision.com/cdn/shop/products/Pat26-0973TN_540x.jpg?v=1633695893
explorer,7007562694847,https://locprecision.com/collections/rocket-kits/products/explorer,//locprecision.com/cdn/shop/products/ExplorerJerry300t_540x.jpg?v=1633695662
tri-star-4-3-38mm,6677842723007,https://locprecision.com/collections/rocket-kits/products/tri-star-4-3-38mm,//locprecision.com/cdn/shop/products/99_8b8cddf1-9f7a-4039-8492-28103585ca7a_540x.jpg?v=1623335242
sudden-rush,7007587401919,https://locprecision.com/collections/rocket-kits/products/sudden-rush,//locprecision.com/cdn/shop/products/IMG_0975_540x.jpg?v=1669151050
king-viper-iii,6677839872191,https://locprecision.com/collections/rocket-kits/products/king-viper-iii,//locprecision.com/cdn/shop/products/50_8849568e-0b1a-49c6-93ee-7125f17b9932_540x.jpg?v=1623221509
