commonName,delays,diameter,infoUrl,totImpulseNs,manufacturer,burnTimeS,propInfo,length,avgThrustN,dataFiles,impulseClass,sparky,caseInfo,propWeightG,certOrg,motorId,availability,maxThrustN,totalWeightG,designation,updatedOn,type,mfgID
E6,"4,6,8",24.0,http://www.nar.org/SandT/pdf/Apogee/E6.pdf,37.8,Apogee Components,5.84,,77.0,6.47,2,E,False,,22.0,National Association of Rocketry,5f4294d2000231000000020f,regular,16.56,46.0,E6,2020-09-01,SU,Apogee
E25,"4,7,P",29.0,,39.0,Roadrunner Rocketry,1.5,Rapid propellant,76.0,25.0,2,E,False,SU 29x76,20.6,"Tripoli Rocketry Association, Inc.",5f4294d20002310000000241,OOP,40.0,78.0,E25,2019-04-17,SU,Roadrunner
E35,"5,8,11",24.0,,39.38,Quest Aerospace,1.08,White Lightning,113.0,33.81,2,E,False,,25.4,"Tripoli Rocketry Association, Inc.",629ee7b1e0d0450004036826,regular,43.96,55.0,E35W,2022-06-07,SU,Quest
E28,"4,5,7",24.0,http://nar.org/SandT/pdf/Aerotech/E28.pdf,39.69,AeroTech,1.22,Blue Thunder,70.0,32.53,2,E,False,RMS-24/40,18.4,National Association of Rocketry,5f4294d20002310000000033,regular,50.52,55.3,E28T,2019-04-17,reload,AeroTech
E15,"4,7",24.0,http://nar.org/SandT/pdf/RocketVision/E15.pdf,39.76,Rocketvision Flight-Star,2.64,,70.0,15.06,1,E,False,SU 24x70,17.8,National Association of Rocketry,5f4294d2000231000000002e,OOP,28.84,50.1,E15,2019-04-17,SU,RV
E6,"4,6,8,P",24.0,https://nar.org/SandT/pdf/Aerotech/E6.pdf,40.0,AeroTech,6.67,Blue Thunder,70.0,6.0,1,E,False,RMS 24/20-40 R/C,21.5,National Association of Rocketry,5f4294d20002310000000025,OOP,,,E6,2022-07-20,SU,AeroTech
F36,"2,4,6,8,11",29.0,,41.2,Cesaroni Technology,1.07,Smoky Sam,98.0,38.5,2,F,False,Pro29-1G,69.0,Canadian Association of Rocketry,5f4294d200023100000002b8,regular,72.7,104.0,41F36-11A,2019-04-17,reload,Cesaroni
F23,"4,7",29.0,https://www.nar.org/SandT/pdf/AeroTech/F23FJ.pdf,41.2,AeroTech,2.21,Black Max,83.0,18.58,1,F,False,,30.0,National Association of Rocketry,654b01231b5ae70002c2beae,regular,29.8,83.0,F23FJ,2023-11-08,SU,AeroTech
F44,"4,6,8",24.0,https://nar.org/SandT/pdf/Aerotech/F44W.pdf,41.5,AeroTech,1.0,White Lightning,70.0,44.0,2,F,False,,19.7,National Association of Rocketry,5f4294d200023100000003ff,regular,50.0,48.0,F44W,2022-07-20,SU,AeroTech
F12,"3,5",24.0,http://nar.org/SandT/pdf/Aerotech/F12.pdf,43.2,AeroTech,2.93,Blackjack,70.0,14.74,2,F,False,RMS-24/40,30.3,National Association of Rocketry,5f4294d20002310000000036,regular,23.54,68.6,F12J,2019-04-17,reload,AeroTech
