motorId,time,thrust
5f4294d2000231000000040c,0.762,3.649
5f4294d2000231000000040c,0.838,2.668
5f4294d2000231000000040c,0.97,2.149
5f4294d2000231000000040c,1.228,1.918
5f4294d2000231000000040c,1.522,1.918
5f4294d2000231000000040c,1.8,1.86
5f4294d2000231000000040c,2.013,1.745
5f4294d2000231000000040c,2.068,2.034
5f4294d2000231000000040c,2.134,1.803
5f4294d2000231000000040c,2.326,1.803
5f4294d2000231000000040c,2.509,1.745
5f4294d2000231000000040c,2.645,1.687
5f4294d2000231000000040c,2.721,1.457
5f4294d2000231000000040c,2.807,0.879
5f4294d2000231000000040c,2.86,0.0
5f4294d2000231000000040d,0.02,5.071
5f4294d2000231000000040d,0.039,9.478
5f4294d2000231000000040d,0.093,10.14
5f4294d2000231000000040d,0.184,9.478
5f4294d2000231000000040d,0.275,8.429
5f4294d2000231000000040d,0.438,6.82
5f4294d2000231000000040d,0.657,4.372
5f4294d2000231000000040d,0.747,3.392
5f4294d2000231000000040d,0.838,2.413
5f4294d2000231000000040d,1.056,2.064
5f4294d2000231000000040d,1.365,1.923
5f4294d2000231000000040d,1.892,1.783
5f4294d2000231000000040d,2.528,1.713
5f4294d2000231000000040d,2.946,1.713
5f4294d2000231000000040d,3.219,1.643
5f4294d2000231000000040d,4.091,1.573
5f4294d2000231000000040d,4.727,1.573
5f4294d2000231000000040d,5.218,1.573
5f4294d2000231000000040d,5.636,1.573
5f4294d2000231000000040d,6.217,1.573
5f4294d2000231000000040d,6.726,1.433
5f4294d2000231000000040d,7.199,1.503
5f4294d2000231000000040d,7.635,1.363
5f4294d2000231000000040d,7.907,1.224
5f4294d2000231000000040d,8.016,0.734
5f4294d2000231000000040d,8.14,0.0
5f4294d20002310000000001,0.026,0.0394607
5f4294d20002310000000001,0.036,0.1214556
5f4294d20002310000000001,0.04,0.206028
5f4294d20002310000000001,0.05,0.444676
5f4294d20002310000000001,0.056,0.680251
5f4294d20002310000000001,0.06,0.899565
5f4294d20002310000000001,0.066,1.358816
5f4294d20002310000000001,0.068,1.475611
5f4294d20002310000000001,0.07,1.56653
5f4294d20002310000000001,0.074,1.624927
5f4294d20002310000000001,0.088,1.190166
5f4294d20002310000000001,0.112,0.830955
5f4294d20002310000000001,0.126,0.439917
5f4294d20002310000000001,0.134,0.319751
5f4294d20002310000000001,0.144,0.248959
5f4294d20002310000000001,0.174,0.1656754
5f4294d20002310000000001,0.206,0.1918503
5f4294d20002310000000001,0.258,0.1262147
5f4294d20002310000000001,0.342,0.1601231
5f4294d20002310000000001,0.366,0.1386081
5f4294d20002310000000001,0.384,0.1794569
5f4294d20002310000000001,0.494,0.218422
5f4294d20002310000000001,0.546,0.1540751
5f4294d20002310000000001,0.56,0.178168
5f4294d20002310000000001,0.608,0.1523896
5f4294d20002310000000001,0.682,0.209499
5f4294d20002310000000001,0.698,0.1837202
5f4294d20002310000000001,0.712,0.220206
5f4294d20002310000000001,0.742,0.209003
5f4294d20002310000000001,0.768,0.040353
5f4294d20002310000000001,0.785,0.0
5f7d30aa606b5d00041d9abc,0.001,1.960183161
5f7d30aa606b5d00041d9abc,0.013,17.05504955
5f7d30aa606b5d00041d9abc,0.026,24.70023688
5f7d30aa606b5d00041d9abc,0.07,19.16898254
5f7d30aa606b5d00041d9abc,0.116,17.54925097
5f7d30aa606b5d00041d9abc,0.181,16.98988014
5f7d30aa606b5d00041d9abc,0.285,18.23896064
5f7d30aa606b5d00041d9abc,0.426,19.49754503
5f7d30aa606b5d00041d9abc,0.564,19.80709976
5f7d30aa606b5d00041d9abc,0.626,21.26255009
5f7d30aa606b5d00041d9abc,0.667,19.48261037
5f7d30aa606b5d00041d9abc,0.68,17.19353457
5f7d30aa606b5d00041d9abc,0.695,13.68117449
5f7d30aa606b5d00041d9abc,0.713,8.350859193
5f7d30aa606b5d00041d9abc,0.745,2.124464402
5f7d30aa606b5d00041d9abc,0.764,0.6690140715
5f7d30aa606b5d00041d9abc,0.799,0.04718921021
5f7d30aa606b5d00041d9abc,0.8,0.0
5f7d2f71606b5d00041d9aba,0.013,0.043
5f7d2f71606b5d00041d9aba,0.022,0.937
5f7d2f71606b5d00041d9aba,0.03,2.428
5f7d2f71606b5d00041d9aba,0.039,6.218
5f7d2f71606b5d00041d9aba,0.044,12.436
5f7d2f71606b5d00041d9aba,0.052,20.06
5f7d2f71606b5d00041d9aba,0.059,21.721
5f7d2f71606b5d00041d9aba,0.071,22.019
5f7d2f71606b5d00041d9aba,0.08,21.848
5f7d2f71606b5d00041d9aba,0.088,22.189
5f7d2f71606b5d00041d9aba,0.122,21.38
5f7d2f71606b5d00041d9aba,0.132,21.422
5f7d2f71606b5d00041d9aba,0.143,21.082
5f7d2f71606b5d00041d9aba,0.152,21.55
5f7d2f71606b5d00041d9aba,0.167,21.678
5f7d2f71606b5d00041d9aba,0.177,21.721
5f7d2f71606b5d00041d9aba,0.187,21.934
5f7d2f71606b5d00041d9aba,0.197,21.21
5f7d2f71606b5d00041d9aba,0.218,21.252
5f7d2f71606b5d00041d9aba,0.225,21.976
5f7d2f71606b5d00041d9aba,0.232,22.061
5f7d2f71606b5d00041d9aba,0.241,21.082
5f7d2f71606b5d00041d9aba,0.247,20.954
5f7d2f71606b5d00041d9aba,0.261,21.337
5f7d2f71606b5d00041d9aba,0.268,21.38
5f7d2f71606b5d00041d9aba,0.277,20.911
5f7d2f71606b5d00041d9aba,0.294,21.082
5f7d2f71606b5d00041d9aba,0.313,21.167
5f7d2f71606b5d00041d9aba,0.324,21.38
5f7d2f71606b5d00041d9aba,0.331,21.38
5f7d2f71606b5d00041d9aba,0.34,21.124
5f7d2f71606b5d00041d9aba,0.347,21.124
5f7d2f71606b5d00041d9aba,0.356,21.039
5f7d2f71606b5d00041d9aba,0.363,21.124
5f7d2f71606b5d00041d9aba,0.377,21.55
5f7d2f71606b5d00041d9aba,0.384,21.678
5f7d2f71606b5d00041d9aba,0.396,22.147
5f7d2f71606b5d00041d9aba,0.404,22.785
5f7d2f71606b5d00041d9aba,0.414,22.913
5f7d2f71606b5d00041d9aba,0.424,22.785
5f7d2f71606b5d00041d9aba,0.436,22.061
5f7d2f71606b5d00041d9aba,0.443,21.337
5f7d2f71606b5d00041d9aba,0.454,20.784
5f7d2f71606b5d00041d9aba,0.461,20.145
5f7d2f71606b5d00041d9aba,0.468,19.463
5f7d2f71606b5d00041d9aba,0.477,17.973
5f7d2f71606b5d00041d9aba,0.482,15.928
5f7d2f71606b5d00041d9aba,0.49,13.032
5f7d2f71606b5d00041d9aba,0.5,9.114
5f7d2f71606b5d00041d9aba,0.509,6.133
5f7d2f71606b5d00041d9aba,0.52,3.279
5f7d2f71606b5d00041d9aba,0.532,0.894
5f7d2f71606b5d00041d9aba,0.539,0.256
5f7d2f71606b5d00041d9aba,0.543,0.0
5f4294d2000231000000001d,0.113,13.564
5f4294d2000231000000001d,0.223,16.976
5f4294d2000231000000001d,0.426,17.143
5f4294d2000231000000001d,0.702,15.395
5f4294d2000231000000001d,0.987,11.484
5f4294d2000231000000001d,1.343,7.157
5f4294d2000231000000001d,1.817,3.162
5f4294d2000231000000001d,2.093,1.498
5f4294d2000231000000001d,2.465,0.0
5f4294d2000231000000002d,0.0,0.0290422
5f4294d2000231000000002d,0.024,0.227567
5f4294d2000231000000002d,0.038,1.39403
5f4294d2000231000000002d,0.048,2.6721
5f4294d2000231000000002d,0.056,5.81661
5f4294d2000231000000002d,0.06,7.76916
5f4294d2000231000000002d,0.062,9.00446
5f4294d2000231000000002d,0.064,10.7176
5f4294d2000231000000002d,0.072,20.3365
5f4294d2000231000000002d,0.074,22.4147
5f4294d2000231000000002d,0.08,27.1311
5f4294d2000231000000002d,0.084,28.9874
5f4294d2000231000000002d,0.09,30.5394
5f4294d2000231000000002d,0.104,32.9513
